# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.load.initial.state.ms,1764433570484000000,1764433623631000000,80
workspaceModel.global.updates.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764433570484000000,1764433623631000000,2
jps.global.get.library.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1764433570484000000,1764433623631000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1764433570484000000,1764433623631000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1764433570484000000,1764433623631000000,0
workspaceModel.updates.ms,1764433570484000000,1764433623631000000,0
workspaceModel.loading.total.ms,1764433570484000000,1764433623631000000,894
workspaceModel.check.recursive.update.ms,1764433570484000000,1764433623631000000,0
workspaceModel.to.snapshot.ms,1764433570484000000,1764433623631000000,0
workspaceModel.updates.precise.ms,1764433570484000000,1764433623631000000,0
workspaceModel.cachedValue.total.get.count,1764433570484000000,1764433623631000000,9
workspaceModel.update.unloaded.entities.ms,1764433570484000000,1764433623631000000,0
workspaceModel.cachedValueWithParameters.clear.count,1764433570484000000,1764433623631000000,0
workspaceModel.cachedValue.clear.count,1764433570484000000,1764433623631000000,0
workspaceModel.pre.handlers.ms,1764433570484000000,1764433623631000000,0
workspaceModel.init.bridges.ms,1764433570484000000,1764433623631000000,0
workspaceModel.on.changed.ms,1764433570484000000,1764433623631000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1764433570484000000,1764433623631000000,3
workspaceModel.replace.project.model.ms,1764433570484000000,1764433623631000000,0
workspaceModel.loading.from.cache.ms,1764433570484000000,1764433623631000000,828
workspaceModel.cachedValueWithParameters.calculated.count,1764433570484000000,1764433623631000000,0
workspaceModel.on.before.changed.ms,1764433570484000000,1764433623631000000,0
workspaceModel.full.replace.project.model.ms,1764433570484000000,1764433623631000000,0
workspaceModel.updates.count,1764433570484000000,1764433623631000000,0
workspaceModel.cachedValue.from.cache.count,1764433570484000000,1764433623631000000,8
