# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1764483747871000000,1764483791253000000,10
VFS.fileByIdCache.hits,1764483747871000000,1764483791253000000,0
VFS.folderCaseSensitivityReads,1764483747871000000,1764483791253000000,0
VFS.fileByIdCache.misses,1764483747871000000,1764483791253000000,0
VFS.invertedFileNameIndex.requests,1764483747871000000,1764483791253000000,0
NonBlockingReadAction.finalizedExecutionsCount,1764483747871000000,1764483791253000000,11
NonBlockingReadAction.failedExecutionTimeUs,1764483747871000000,1764483791253000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1764483747871000000,1764483791253000000,153512
NonBlockingReadAction.failedExecutionsCount,1764483747871000000,1764483791253000000,0
AWTEventQueue.dispatchTimeTotalNS,1764483747871000000,1764483791253000000,37784311386
Indexing.writesQueuedAvg,1764483747871000000,1764483791253000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1764483747871000000,1764483791253000000,0
Indexing.cache.totalCacheMisses,1764483747871000000,1764483791253000000,0
Indexing.cache.totalCacheAccesses,1764483747871000000,1764483791253000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1764483747871000000,1764483791253000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1764483747871000000,1764483791253000000,0
Indexing.writesQueuedMax,1764483747871000000,1764483791253000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1764483747871000000,1764483791253000000,0
Indexing.cache.totalCacheEvicted,1764483747871000000,1764483791253000000,0
Indexing.totalTimeIndexersSleptMs,1764483747871000000,1764483791253000000,0
Indexing.writesQueuedMin,1764483747871000000,1764483791253000000,0
cacheStateStorage.set.counter,1764483747871000000,1764483791253000000,1
cacheStateStorage.get.counter,1764483747871000000,1764483791253000000,3
cacheStateStorage.get.duration,1764483747871000000,1764483791253000000,0
cacheStateStorage.set.duration,1764483747871000000,1764483791253000000,40
writeAction.count,1764483747871000000,1764483791253000000,1
writeAction.max.wait.ms,1764483747871000000,1764483791253000000,3
writeAction.median.wait.ms,1764483747871000000,1764483791253000000,0
DiskQueryRelay.tasksRequested,1764483747871000000,1764483791253000000,25
DiskQueryRelay.tasksExecuted,1764483747871000000,1764483791253000000,25
DiskQueryRelay.taskExecutionTotalTimeUs,1764483747871000000,1764483791253000000,9308
writeAction.wait.ms,1764483747871000000,1764483791253000000,3
DiskQueryRelay.taskWaitingTotalTimeUs,1764483747871000000,1764483791253000000,54819
workspaceModel.cachedValueWithParameters.calculated.count,1764483747871000000,1764483791253000000,0
workspaceModel.cachedValue.clear.count,1764483747871000000,1764483791253000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1764483747871000000,1764483791253000000,0
workspaceModel.cachedValueWithParameters.clear.count,1764483747871000000,1764483791253000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1764483747871000000,1764483791253000000,3
workspaceModel.cachedValue.total.get.count,1764483747871000000,1764483791253000000,9
workspaceModel.updates.precise.ms,1764483747871000000,1764483791253000000,0
workspaceModel.pre.handlers.ms,1764483747871000000,1764483791253000000,0
workspaceModel.check.recursive.update.ms,1764483747871000000,1764483791253000000,0
workspaceModel.replace.project.model.ms,1764483747871000000,1764483791253000000,0
workspaceModel.loading.total.ms,1764483747871000000,1764483791253000000,658
workspaceModel.loading.from.cache.ms,1764483747871000000,1764483791253000000,635
workspaceModel.to.snapshot.ms,1764483747871000000,1764483791253000000,0
workspaceModel.full.replace.project.model.ms,1764483747871000000,1764483791253000000,0
workspaceModel.collect.changes.ms,1764483747871000000,1764483791253000000,0
workspaceModel.cachedValue.calculated.count,1764483747871000000,1764483791253000000,1
workspaceModel.on.before.changed.ms,1764483747871000000,1764483791253000000,0
workspaceModel.update.unloaded.entities.ms,1764483747871000000,1764483791253000000,0
