# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.from.file.ms,1764456975705000000,1764457024565000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1764456975705000000,1764457024565000000,5
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764456975705000000,1764457024565000000,0
jps.global.handle.changed.events.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764456975705000000,1764457024565000000,0
jps.global.get.library.by.name.ms,1764456975705000000,1764457024565000000,0
jps.save.global.entities.ms,1764456975705000000,1764457024565000000,28
workspaceModel.moduleManagerBridge.load.module.ms,1764456975705000000,1764457024565000000,0
jps.app.storage.content.reader.load.component.ms,1764456975705000000,1764457024565000000,50
jps.load.initial.state.ms,1764456975705000000,1764457024565000000,162
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764456975705000000,1764457024565000000,2
jps.global.get.libraries.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764456975705000000,1764457024565000000,0
jps.global.handle.before.change.events.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.entities.ms,1764456975705000000,1764457024565000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1764456975705000000,1764457024565000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1764456975705000000,1764457024565000000,0
workspaceModel.global.updates.ms,1764456975705000000,1764457024565000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1764456975705000000,1764457024565000000,0
Indexing.cache.totalCacheEvicted,1764456975705000000,1764457024565000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1764456975705000000,1764457024565000000,0
Indexing.cache.totalCacheAccesses,1764456975705000000,1764457024565000000,0
Indexing.writesQueuedAvg,1764456975705000000,1764457024565000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1764456975705000000,1764457024565000000,0
Indexing.totalTimeIndexersSleptMs,1764456975705000000,1764457024565000000,0
Indexing.writesQueuedMax,1764456975705000000,1764457024565000000,0
Indexing.cache.totalCacheMisses,1764456975705000000,1764457024565000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1764456975705000000,1764457024565000000,0
Indexing.writesQueuedMin,1764456975705000000,1764457024565000000,0
VFS.folderCaseSensitivityReads,1764456975705000000,1764457024565000000,0
VFS.fileByIdCache.misses,1764456975705000000,1764457024565000000,0
VFS.fileByIdCache.hits,1764456975705000000,1764457024565000000,0
VFS.fileChildByName,1764456975705000000,1764457024565000000,10
VFS.invertedFileNameIndex.requests,1764456975705000000,1764457024565000000,0
cacheStateStorage.set.counter,1764456975705000000,1764457024565000000,1
cacheStateStorage.get.counter,1764456975705000000,1764457024565000000,3
cacheStateStorage.get.duration,1764456975705000000,1764457024565000000,0
cacheStateStorage.set.duration,1764456975705000000,1764457024565000000,31
writeAction.max.wait.ms,1764456975705000000,1764457024565000000,3
DiskQueryRelay.tasksRequested,1764456975705000000,1764457024565000000,25
writeAction.count,1764456975705000000,1764457024565000000,1
writeAction.median.wait.ms,1764456975705000000,1764457024565000000,0
writeAction.wait.ms,1764456975705000000,1764457024565000000,3
DiskQueryRelay.tasksExecuted,1764456975705000000,1764457024565000000,25
DiskQueryRelay.taskExecutionTotalTimeUs,1764456975705000000,1764457024565000000,11689
DiskQueryRelay.taskWaitingTotalTimeUs,1764456975705000000,1764457024565000000,56169
NonBlockingReadAction.finalizedExecutionTimeUs,1764456975705000000,1764457024565000000,167646
NonBlockingReadAction.failedExecutionTimeUs,1764456975705000000,1764457024565000000,0
NonBlockingReadAction.finalizedExecutionsCount,1764456975705000000,1764457024565000000,11
NonBlockingReadAction.failedExecutionsCount,1764456975705000000,1764457024565000000,0
AWTEventQueue.dispatchTimeTotalNS,1764456975705000000,1764457024565000000,41193892368
