# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1764448636337000000,1764448699997000000,2
cacheStateStorage.get.duration,1764448636337000000,1764448699997000000,0
cacheStateStorage.set.counter,1764448636337000000,1764448699997000000,1
cacheStateStorage.set.duration,1764448636337000000,1764448699997000000,158
DiskQueryRelay.taskWaitingTotalTimeUs,1764448636337000000,1764448699997000000,0
DiskQueryRelay.tasksRequested,1764448636337000000,1764448699997000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1764448636337000000,1764448699997000000,0
DiskQueryRelay.tasksExecuted,1764448636337000000,1764448699997000000,0
StorageLockContext.competingThreads.avg,1764448636337000000,1764448699997000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1764448636337000000,1764448699997000000,0
FilePageCache.totalPageDisposalsUs,1764448636337000000,1764448699997000000,28068
MappedFileStorage.totalPagesMapped,1764448636337000000,1764448699997000000,6
StorageLockContext.competingThreads.max,1764448636337000000,1764448699997000000,0
StreamlinedBlobStorage.recordsDeleted,1764448636337000000,1764448699997000000,0
FilePageCache.maxCacheSizeInBytes,1764448636337000000,1764448699997000000,71303168
DirectByteBufferAllocator.reclaimed,1764448636337000000,1764448699997000000,3
StreamlinedBlobStorage.recordsRelocated,1764448636337000000,1764448699997000000,0
FilePageCache.pageFastCacheHits,1764448636337000000,1764448699997000000,4851
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1764448636337000000,1764448699997000000,0
MappedFileStorage.totalBytesMapped,1764448636337000000,1764448699997000000,164626432
FileChannelInterruptsRetryer.totalRetriedAttempts,1764448636337000000,1764448699997000000,0
FilePageCache.uncachedFileAccess,1764448636337000000,1764448699997000000,118
DirectByteBufferAllocator.misses,1764448636337000000,1764448699997000000,68
MappedFileStorage.totalTimeSpentOnMappingUs,1764448636337000000,1764448699997000000,1238845
FilePageCache.maxRegisteredFiles,1764448636337000000,1764448699997000000,186
MappedFileStorage.storages,1764448636337000000,1764448699997000000,6
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1764448636337000000,1764448699997000000,0
FilePageCache.capacityInBytes,1764448636337000000,1764448699997000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764448636337000000,1764448699997000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764448636337000000,1764448699997000000,71303168
FilePageCache.pageLoads,1764448636337000000,1764448699997000000,71
FilePageCache.totalPageLoadsUs,1764448636337000000,1764448699997000000,172706
StorageLockContext.competingThreads.90P,1764448636337000000,1764448699997000000,0
FilePageCache.disposedBuffers,1764448636337000000,1764448699997000000,3
FilePageCache.pageHits,1764448636337000000,1764448699997000000,0
StreamlinedBlobStorage.recordsAllocated,1764448636337000000,1764448699997000000,0
DirectByteBufferAllocator.hits,1764448636337000000,1764448699997000000,3
DirectByteBufferAllocator.disposed,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsReadDecompressed,1764448636337000000,1764448699997000000,0
VFS.folderCaseSensitivityReads,1764448636337000000,1764448699997000000,0
VFS.invertedFileNameIndex.requests,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsStoredSize,1764448636337000000,1764448699997000000,0
FileNameCache.queries,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsStored,1764448636337000000,1764448699997000000,0
VFS.fileChildByName,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1764448636337000000,1764448699997000000,0
VFS.fileByIdCache.hits,1764448636337000000,1764448699997000000,0
FileNameCache.totalMisses,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsDeduplicated,1764448636337000000,1764448699997000000,0
VFS.fileByIdCache.misses,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsStoredCompressed,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsRead,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsUncompressedSize,1764448636337000000,1764448699997000000,0
VFS.contentStorage.recordsReadSize,1764448636337000000,1764448699997000000,0
workspaceModel.check.recursive.update.ms,1764448636337000000,1764448699997000000,0
workspaceModel.cachedValue.total.get.count,1764448636337000000,1764448699997000000,2
workspaceModel.cachedValue.clear.count,1764448636337000000,1764448699997000000,0
workspaceModel.to.snapshot.ms,1764448636337000000,1764448699997000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1764448636337000000,1764448699997000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1764448636337000000,1764448699997000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1764448636337000000,1764448699997000000,0
